N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,100",800,-1.08%,100,"4,363,911","5,969,783",51.86,"21,915,870",17.55,9.99,
2,SK하이닉스,"102,500","1,500",-1.44%,"5,000","746,202","728,002",45.98,"6,117,393",14.64,9.53,
3,NAVER,"424,500","4,500",-1.05%,100,"697,298","164,263",56.78,"501,090",4.32,15.22,
4,카카오,"146,500","1,000",+0.69%,100,"651,496","444,707",31.65,"2,787,162",213.25,2.70,
5,삼성바이오로직스,"975,000","18,000",-1.81%,"2,500","645,109","66,165",10.58,"144,584",243.14,N/A,
6,LG화학,"894,000","2,000",-0.22%,"5,000","631,096","70,592",48.03,"250,457",38.92,2.93,
7,삼성전자우,"68,500","1,000",-1.44%,100,"563,677","822,887",75.32,"1,936,257",16.45,N/A,
8,삼성SDI,"777,000","17,000",-2.14%,"5,000","534,300","68,765",44.46,"271,635",76.11,4.54,
9,현대차,"206,500","6,000",-2.82%,"5,000","441,225","213,668",28.52,"1,166,915",24.99,2.04,
10,카카오뱅크,"92,000","7,500",+8.88%,"5,000","437,092","475,100",5.11,"13,305,130",297.73,5.08,
11,셀트리온,"271,000","3,000",-1.09%,"1,000","373,803","137,935",20.74,"490,837",62.17,16.68,
12,기아,"80,400","2,800",-3.37%,"5,000","325,912","405,363",33.51,"2,090,413",14.44,5.05,
13,POSCO,"313,500","15,500",-4.71%,"5,000","273,331","87,187",54.16,"508,502",7.09,3.61,
14,SK바이오사이언스,"335,500","14,500",+4.52%,500,"256,658","76,500",3.57,"3,225,067",163.42,13.25,
15,현대모비스,"257,500","9,500",-3.56%,"5,000","244,092","94,793",35.63,"303,939",13.74,4.66,
16,LG전자,"148,000","5,500",-3.58%,"5,000","242,199","163,648",31.90,"725,155",13.79,13.23,
17,삼성물산,"129,500","4,500",-3.36%,100,"242,019","186,887",15.19,"509,389",15.43,3.81,
18,크래프톤,"492,500","23,500",+5.01%,100,"240,823","48,898",5.97,"1,229,588",44.47,61.86,
19,LG생활건강,"1,437,000","10,000",-0.69%,"5,000","224,433","15,618",45.28,"32,572",30.98,17.92,
20,KB금융,"51,300","1,700",-3.21%,"5,000","213,309","415,808",67.39,"1,261,113",5.34,8.53,
21,SK이노베이션,"230,000","10,500",-4.37%,"5,000","212,671","92,466",22.64,"624,734",-47.65,-13.58,
22,SK텔레콤,"290,000","4,500",-1.53%,500,"208,974","72,060",46.72,"247,475",13.36,6.44,
23,신한지주,"37,550","1,450",-3.72%,"5,000","193,983","516,600",60.11,"1,815,073",5.27,8.20,
24,엔씨소프트,"853,000","65,000",+8.25%,500,"187,268","21,954",51.41,"461,595",39.61,20.83,
25,SK,"259,000","8,000",-3.00%,200,"182,233","70,360",20.20,"153,633",30.16,1.11,
26,HMM,"38,000","2,850",-6.98%,"5,000","154,049","405,392",9.73,"8,286,550",24.07,8.93,
27,SK아이이테크놀로지,"214,000",500,-0.23%,"1,000","152,577","71,298",8.69,"416,488",N/A,11.00,
28,한국전력,"23,650",750,-3.07%,"5,000","151,824","641,964",15.33,"3,153,230",7.39,2.91,
29,LG,"95,100","2,500",-2.56%,"5,000","149,593","157,301",33.31,"350,241",8.73,7.50,
30,삼성생명,"72,100","2,300",-3.09%,500,"144,200","200,000",12.98,"502,623",6.79,3.53,
31,삼성에스디에스,"169,500","5,000",-2.87%,500,"131,155","77,378",11.59,"166,991",20.84,6.71,
32,하나금융지주,"42,900","1,650",-3.70%,"5,000","128,804","300,242",67.90,"1,305,790",4.57,8.96,
33,삼성전기,"171,000","8,500",-4.74%,"5,000","127,726","74,694",33.07,"720,470",18.82,10.92,
34,아모레퍼시픽,"214,000","8,500",-3.82%,500,"125,101","58,458",33.57,"167,758",149.76,0.78,
